"Animal","Caption","Age","Depicts_research","Want_as_pet","Seen_in_real_world","Support_conservation","One_word_comment"
"gorilla","informative",45,4,4,4,4,"good"
"loris","informative",49,5,1,1,4,"australia"
"gorilla","informative",44,4,4,4,4,"cuteness"
"gorilla","no context",25,5,5,5,5,"it is good nature"
"gorilla","no context",60,2,4,1,4,"GORILLA WAS SO CUTE"
"gorilla","no context",60,2,4,1,4,"GORILLA WAS SO CUTE"
"gorilla","no context",25,3,4,5,4,"Gorilla is a very helpful in person life"
"gorilla","no context",25,3,4,5,4,"Gorilla is a very helpful in person life"
"gorilla","informative",25,4,4,4,4,"FUNNY"
"gorilla","informative",31,5,2,2,4,"zoophilist"
"loris","no context",25,4,5,4,5,"cute"
"loris","no context",25,4,5,4,5,"cute"
"gorilla","informative",30,4,4,5,5,"gorilla"
"gorilla","informative",30,4,4,5,5,"gorilla"
"loris","informative",25,4,4,4,4,"safe handling"
"gorilla","informative",58,4,4,4,4,"Butte  "
"loris","no context",36,4,4,4,4,"good and bad"
"gorilla","no context",44,3,4,2,5,"the natural is very beautiful"
"loris","informative",30,4,2,4,4,"playful"
"gorilla","informative",25,3,3,4,4,"AMAZING"
"loris","informative",44,4,4,4,4,"safe"
"gorilla","informative",50,5,5,5,5,"Save the animal"
"gorilla","no context",49,4,5,1,5,"beautiful place and view"
"loris","informative",46,4,2,4,5,"Pity"
"loris","informative",25,4,4,4,4,"This animal is very nice"
"loris","no context",38,4,4,4,4,"happy"
"loris","no context",25,4,4,4,4,"small monkey"
"loris","informative",43,3,1,1,1,"sad"
"loris","no context",25,4,4,4,4,"The animal is very wild animal"
"loris","informative",36,5,5,4,4,"Humanity"
"gorilla","informative",26,4,4,4,4,"GORILLA"
"gorilla","informative",48,4,1,2,1,"Kinship "
"gorilla","no context",23,4,4,4,4,"bonding"
"gorilla","informative",61,4,2,2,4,"Beautiful"
"gorilla","informative",59,5,2,4,5,"Endangered"
"gorilla","no context",74,5,1,5,4,"endangered"
"gorilla","no context",25,4,4,4,4,"Safe handling"
"gorilla","informative",25,4,4,4,4,"nature"
"loris","no context",30,2,2,4,5,"GOOD FEEL"
"loris","informative",31,4,5,2,4,"cute"
"gorilla","no context",25,4,5,4,4,"gorilla is a very helpful in person life"
"loris","no context",20,4,4,2,5,"I don't know if it was eaten"
"loris","no context",29,3,5,5,4,"very cute animal"
"loris","no context",29,3,5,5,4,"very cute animal"
"loris","informative",21,4,5,3,4,"my friend"
"loris","informative",21,4,5,3,4,"my friend"
"loris","no context",29,5,2,4,5,"Cool"
"gorilla","no context",41,5,1,1,4,"intrusion"
"loris","no context",29,4,2,2,4,"fear"
"gorilla","informative",25,5,5,5,4,"nice "
"loris","informative",40,4,2,2,4,"awareness"
"gorilla","informative",32,5,4,5,4,"ONE MAN IN GORILLA ANIMAL RESERACH"
"gorilla","no context",30,4,4,4,4,"good"
"loris","no context",43,4,5,4,4,"Jessd"
"gorilla","informative",25,4,3,4,4,"mountain gorilla"
"loris","no context",67,3,1,1,4,"Inappropriate"
"loris","no context",30,1,4,4,5,"that man was a scientist"
"loris","informative",64,5,2,1,4,"Sadness"
"loris","informative",69,5,4,2,5,"Wonderment"
"gorilla","informative",33,4,4,4,4,"animal"
"loris","informative",41,4,4,1,2,"tiny"
"loris","informative",49,5,5,5,4,"Wildlife"
"gorilla","no context",28,2,1,1,1,"inconsequential"
"gorilla","informative",50,5,1,5,5,"Amazing "
"loris","informative",63,5,2,1,5,"Primatologist"
"loris","informative",31,4,2,4,4,"Cute"
"gorilla","informative",34,4,1,1,2,"Interesting"
"loris","informative",49,4,3,1,2,"passion"
"gorilla","no context",31,5,1,5,5,"Cool"
"gorilla","no context",39,3,4,4,4,"THE POST SHARED AN USEFUL AND INFORMATION OF THE ANIMAL AND THE ASPECTS OF THE LIFE OF THE ANIMAL"
"loris","no context",43,2,1,1,4,"beauty"
"gorilla","no context",35,5,4,4,4,"Cute"
"gorilla","informative",40,5,5,5,5,"MOUNTAIN GORILLA"
"gorilla","no context",48,4,2,4,4,"FEAR"
"loris","informative",42,4,5,5,2,"good "
"loris","informative",34,3,1,2,3,"Heartbreak"
"gorilla","informative",65,5,1,2,3,"a cool job if you are young and not afraid"
"loris","informative",44,5,4,3,3,"caring"
"loris","informative",39,4,2,1,5,"cute"
"gorilla","no context",63,3,3,3,4,"animals are friendly to human being"
"gorilla","no context",34,4,4,4,4,"very closest picture of man with animal"
"loris","no context",25,4,3,4,4,"Wild animals conservation is very important"
"gorilla","informative",25,4,2,4,5,"wildlife of animals"
"gorilla","informative",30,5,1,4,5,"Wholesome"
"gorilla","no context",34,3,3,3,3,"GORILLA SEE THIS MAN"
"gorilla","informative",30,4,5,5,4,"animal"
"loris","no context",36,4,3,2,3,"cute"
"loris","no context",41,5,5,2,5,"experimet to monkey"
"loris","no context",41,5,5,2,5,"experimet to monkey"
