"utensil","demographic","usage","percent","group"
"cutting_board","total","frequently",62,"none"
"cutting_board","total","sometimes",21,"none"
"cutting_board","total","never",5,"none"
"cutting_board","total","dont_own",10,"none"
"cutting_board","total","dont_know",2,"none"
"cutting_board","total","total",100,"none"
"cutting_board","total","N",997,"none"
"cutting_board","dem","frequently",60,"party"
"cutting_board","ind","frequently",58,"party"
"cutting_board","rep","frequently",69,"party"
"cutting_board","dem","sometimes",21,"party"
"cutting_board","ind","sometimes",24,"party"
"cutting_board","rep","sometimes",17,"party"
"cutting_board","dem","never",6,"party"
"cutting_board","ind","never",5,"party"
"cutting_board","rep","never",4,"party"
"cutting_board","dem","dont_own",12,"party"
"cutting_board","ind","dont_own",10,"party"
"cutting_board","rep","dont_own",9,"party"
"cutting_board","dem","dont_know",2,"party"
"cutting_board","ind","dont_know",3,"party"
"cutting_board","rep","dont_know",1,"party"
"cutting_board","dem","total",101,"party"
"cutting_board","ind","total",100,"party"
"cutting_board","rep","total",100,"party"
"cutting_board","dem","N",348,"party"
"cutting_board","ind","N",365,"party"
"cutting_board","rep","N",284,"party"
"cutting_board","white","frequently",64,"race"
"cutting_board","black","frequently",45,"race"
"cutting_board","hispanic","frequently",64,"race"
"cutting_board","other","frequently",67,"race"
"cutting_board","white","sometimes",21,"race"
"cutting_board","black","sometimes",19,"race"
"cutting_board","hispanic","sometimes",23,"race"
"cutting_board","other","sometimes",18,"race"
"cutting_board","white","never",4,"race"
"cutting_board","black","never",10,"race"
"cutting_board","hispanic","never",8,"race"
"cutting_board","other","never",4,"race"
"cutting_board","white","dont_own",9,"race"
"cutting_board","black","dont_own",20,"race"
"cutting_board","hispanic","dont_own",5,"race"
"cutting_board","other","dont_own",12,"race"
"cutting_board","white","dont_know",2,"race"
"cutting_board","black","dont_know",5,"race"
"cutting_board","hispanic","dont_know",1,"race"
"cutting_board","other","dont_know",0,"race"
"cutting_board","white","total",100,"race"
"cutting_board","black","total",99,"race"
"cutting_board","hispanic","total",101,"race"
"cutting_board","other","total",101,"race"
"cutting_board","white","N",659,"race"
"cutting_board","black","N",106,"race"
"cutting_board","hispanic","N",148,"race"
"cutting_board","other","N",84,"race"
"cutting_board","northeast","frequently",56,"region"
"cutting_board","midwest","frequently",65,"region"
"cutting_board","south","frequently",60,"region"
"cutting_board","west","frequently",67,"region"
"cutting_board","northeast","sometimes",29,"region"
"cutting_board","midwest","sometimes",18,"region"
"cutting_board","south","sometimes",18,"region"
"cutting_board","west","sometimes",21,"region"
"cutting_board","northeast","never",6,"region"
"cutting_board","midwest","never",5,"region"
"cutting_board","south","never",6,"region"
"cutting_board","west","never",5,"region"
"cutting_board","northeast","dont_own",7,"region"
"cutting_board","midwest","dont_own",11,"region"
"cutting_board","south","dont_own",15,"region"
"cutting_board","west","dont_own",5,"region"
"cutting_board","northeast","dont_know",3,"region"
"cutting_board","midwest","dont_know",1,"region"
"cutting_board","south","dont_know",2,"region"
"cutting_board","west","dont_know",2,"region"
"cutting_board","northeast","total",101,"region"
"cutting_board","midwest","total",100,"region"
"cutting_board","south","total",101,"region"
"cutting_board","west","total",100,"region"
"cutting_board","northeast","N",176,"region"
"cutting_board","midwest","N",221,"region"
"cutting_board","south","N",365,"region"
"cutting_board","west","N",235,"region"
"cutting_board","male","frequently",56,"sex"
"cutting_board","female","frequently",67,"sex"
"cutting_board","male","sometimes",25,"sex"
"cutting_board","female","sometimes",16,"sex"
"cutting_board","male","never",6,"sex"
"cutting_board","female","never",4,"sex"
"cutting_board","male","dont_own",10,"sex"
"cutting_board","female","dont_own",10,"sex"
"cutting_board","male","dont_know",2,"sex"
"cutting_board","female","dont_know",2,"sex"
"cutting_board","male","total",99,"sex"
"cutting_board","female","total",99,"sex"
"cutting_board","male","N",465,"sex"
"cutting_board","female","N",532,"sex"
"cutting_board","biden","frequently",69,"vote"
"cutting_board","trump","frequently",71,"vote"
"cutting_board","biden","sometimes",18,"vote"
"cutting_board","trump","sometimes",18,"vote"
"cutting_board","biden","never",5,"vote"
"cutting_board","trump","never",4,"vote"
"cutting_board","biden","dont_own",7,"vote"
"cutting_board","trump","dont_own",7,"vote"
"cutting_board","biden","dont_know",1,"vote"
"cutting_board","trump","dont_know",1,"vote"
"cutting_board","biden","total",100,"vote"
"cutting_board","trump","total",101,"vote"
"cutting_board","biden","N",323,"vote"
"cutting_board","trump","N",369,"vote"
"food_thermometer","x18_29","frequently",12,"age"
"food_thermometer","x30_44","frequently",17,"age"
"food_thermometer","x45_64","frequently",18,"age"
"food_thermometer","x65_plus","frequently",23,"age"
"food_thermometer","x18_29","sometimes",30,"age"
"food_thermometer","x30_44","sometimes",36,"age"
"food_thermometer","x45_64","sometimes",39,"age"
"food_thermometer","x65_plus","sometimes",39,"age"
"food_thermometer","x18_29","never",18,"age"
"food_thermometer","x30_44","never",19,"age"
"food_thermometer","x45_64","never",13,"age"
"food_thermometer","x65_plus","never",10,"age"
"food_thermometer","x18_29","dont_own",34,"age"
"food_thermometer","x30_44","dont_own",26,"age"
"food_thermometer","x45_64","dont_own",26,"age"
"food_thermometer","x65_plus","dont_own",27,"age"
"food_thermometer","x18_29","dont_know",6,"age"
"food_thermometer","x30_44","dont_know",3,"age"
"food_thermometer","x45_64","dont_know",4,"age"
"food_thermometer","x65_plus","dont_know",0,"age"
"food_thermometer","x18_29","total",100,"age"
"food_thermometer","x30_44","total",101,"age"
"food_thermometer","x45_64","total",100,"age"
"food_thermometer","x65_plus","total",99,"age"
"food_thermometer","x18_29","N",149,"age"
"food_thermometer","x30_44","N",219,"age"
"food_thermometer","x45_64","N",365,"age"
"food_thermometer","x65_plus","N",267,"age"
"food_thermometer","lowinc","frequently",12,"income"
"food_thermometer","midinc","frequently",19,"income"
"food_thermometer","highinc","frequently",31,"income"
"food_thermometer","lowinc","sometimes",31,"income"
"food_thermometer","midinc","sometimes",45,"income"
"food_thermometer","highinc","sometimes",40,"income"
"food_thermometer","lowinc","never",14,"income"
