"country","isocode","continent","witchcraft","abslat","rugged","calsuit","distcoast","religiosity","kinshipsch","wgirl","wgige","wgicc","secure","taxeff","justsys","legit","conflocpolice","confjudsys","confnatgov","schautoembed","hofidv","hofuai","hofivr","uzloose","traditionwvs","creativewvs","riskwvs","chindependencewvs","chimaginewvs","crithink","trustinoutwvs","bloodfam","chtolerancewvs","mai","trustgen","trustnbrglp","trustoutwvs","trustbuspar","fairwvs","impfriendswvs","impleisurewvs","blood","charity","strangerhelp","whrhappy","subjhealthwvs","whrposaffect","whrnegaffect","controlwvs","whrfreechoice","fatalism","hardwork","bzsg","limgoodwvs","entrisk","disideas","patapp","hindex","rdtogdp","lngdppcppp","lnpovrat","lifexp","schyears","hdi","disastexp","droughtexp","disrichness","newconfreq","unemprate"
"Guatemala","GTM","Americas",0.357624881147297,15.6972885,1.8073806,1526.9225,0.099074624,3.82460005393858,-0.6358804,-1.0273558,-0.681908,-0.6464974,1.75,2,2,2,0.448571428571429,0.407857142857143,0.393571428571428,NA,6,101,NA,NA,NA,NA,NA,0.26967418,0.112045646,2.88572979,0.8841618,0.9565952,0.58975935,4.59,0.16478008,3.1611981,2.1029205,0.42449653,NA,3.2323384,3.418179,0.35634926,0.336428571428571,0.528571428571429,6.2424884,3.9250767,0.8465787,0.29253948,7.5921755,0.797117,NA,0.898461538461538,NA,NA,54.7102520875,3.567271948,0.474595749700885,65.0199887285499,0.04468,8.953867,3.1945832,72.3568,7.08275,0.64025,36.52,0.088,212,0,2.912
"Honduras","HND","Americas",0.544754217876463,14.821556,2.150366,1667.7795,0.07740393,3.84047795234968,-1.5059031,-0.99837136,-0.6762461,-0.81536394,2,2,2.4,2.3333333,0.426428571428571,0.34,0.338571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.17465353,NA,0.8343296,NA,5.15,0.1282688,3.3353975,NA,0.42437443,NA,NA,NA,NA,0.311428571428571,0.487857142857143,5.3165565,NA,0.82250845,0.27668327,NA,0.7154298,NA,0.866153846153846,3.89,NA,50.092488525,3.389168024,0.254642325818432,59.8769160980303,NA,8.541304,3.450305,73.8987,6.2908,0.6185,20.25,0.52,208,0,4.994
"Croatia","HRV","Europe",0.302819118327449,45.02597,1.2674745,2279.9512,0.11257584,3.08835813748867,0.3483962,0.24690905,0.6030705,0.1054297,3.25,3,2.6,3.3333333,0.685384615384615,0.371,0.274,0.13499999,33,80,33.25893,55,NA,NA,NA,0.4719306,0.16176832,2.283135891,0.72029155,0,0.6797451,2.39,0.1329131,3.0594723,2.497278,0.41693407,5.00614,3.3443832,3.1368847,42.389973,0.216153846153846,0.32,5.519282,3.5498536,0.6140699,0.28808346,6.9569364,0.59992963,0.697285215551579,0.385,NA,5.018057,36.3353639875,2.942270041,32.9425335303204,80.3426064905479,0.85439,10.121486,0.5500463,76.998535,11.2,0.83375,12.11,1.115,202,0.03774033,13.4
"Hungary","HUN","Europe",0.207758265861486,47.166145,0.34640607,2590.3054,0.46699333,2.29853383045692,-0.117983155,0.6320091,0.60230535,0.28485382,2.5,2.5,2.6,2.6666667,0.679285714285714,0.455,0.323571428571429,0.50000024,80,82,31.473215,42.8,0.29939923,0.25423887,-1.3951726,0.6724925,0.12517618,3.301347017,0.8942603,0,0.6130397,1.69,0.17730856,3.3998668,2.478126,0.4001799,5.4220495,3.1962342,3.1444073,43.19802,0.200769230769231,0.395384615384615,5.13045,3.380624,0.67539364,0.25508314,6.4512515,0.5688425,0.568952313868598,0.388333333333333,3.29,5.248127,39.4153485666666,2.88704133,55.8564604486988,87.6975904366468,1.37762,10.172466,-0.30110508,75.05146,12.27265,0.83925,15.24,1.453,199,0,8.505
"Indonesia","IDN","Asia",0.292450368494654,2.2258635,0.96719503,990.6946,0.061867934,3.90393063702361,-0.52977973,-0.50514793,-0.17100592,-0.581136,2,2.25,1.2,2,0.826,0.554666666666667,0.709333333333333,-0.5949999,14,48,37.723213,3.1,0.79670143,0.08514023,-0.32906276,0.6715172,0.082245074,4.165945053,1.0865717,0.15393372,0.47715026,3.93,0.3293723,3.1223452,2.008866,0.39799574,6.665946,3.435536,2.957254,NA,0.682666666666667,0.412666666666667,5.2452493,3.872833,0.8553136,0.257814,7.432042,0.7702181,0.963675820455277,0.946153846153846,3.53,3.8561525,61.1278673,4.307737827,1.46535256069439,77.1516225305262,0.08466,9.132223,3.6591933,69.9696,7.91448,0.68925,20.97,0.772,236,0.050430857,4.9630003
"Ireland","IRL","Europe",0.190114303100847,53.180687,0.51300544,706.3785,0.03452973,2.56702367654263,-1.2616296,1.6955516,1.442715,1.6114991,3.25,4,3.4,3,0.757142857142857,0.652857142857143,0.494285714285714,0.885,70,35,64.95536,71.2,NA,NA,NA,0.45996585,0.23377745,4.156440258,NA,0,0.7023828,7.74,0.40809575,3.5962188,NA,0.6667267,6.283134,3.593661,3.2757452,32.258953,0.656428571428571,0.595714285714286,7.055236,4.2767777,0.8354509,0.2131272,7.131459,0.8916706,0.355077245955715,0.835833333333333,NA,4.8825912,65.5324697458333,4.287940979,80.6580700308068,89.7115194056226,1.51368,11.001517,-0.6348782,81.018295,12.5,0.92775,16.68,0.298,187,0,11.53
"Iran","IRN","Asia",0.666302981814759,32.560455,2.4452891,543.6896,0.46053523,3.65201944119421,1.1297312,-0.9125772,-0.43304816,-0.7659634,1,2,1.8,2.3333333,0.699166666666667,0.561666666666667,0.63,-0.7149998,41,59,40.401787,31.5,0.4772857,0.17920735,-0.8739462,0.47379896,0.21205588,3.007039547,1.0641967,0,0.5161859,3.95,0.30267987,3.3625846,2.1886961,0.5234315,4.692453,3.0747416,3.1212304,26.295252,0.460909090909091,0.564545454545455,4.805837,3.88577,0.6391982,0.47211212,6.86846,0.74307173,0.856968560381688,0.729090909090909,4.25,6.0530305,41.8798039333333,3.496217489,1.44450929632639,81.3309961480916,0.32505,9.5040045,1.1314021,74.8295,8,0.76925,10.96,1.289,214,0.050430857,11.765
"Iraq","IRQ","Asia",0.718226098426603,33.0509,0.670362,426.80582,0.4556358,3.81169731997825,1.5476506,-1.5401179,-1.1839274,-1.3175544,0.5,0,1.2,1.6666666,0.654615384615385,0.472307692307692,0.413076923076923,NA,NA,NA,16.741072,NA,0.6082055,0.13062252,-1.2772279,0.26612836,0.122608736,NA,1.4027572,0.6259983,0.7704326,3.42,0.32909277,3.470542,2.0094776,0.534429,5.6470094,3.443253,2.90471,5.7046237,0.226923076923077,0.657692307692308,4.645033,3.7549703,0.5064238,0.51485544,6.158336,0.49306983,0.954367355178423,0.680909090909091,NA,4.8521066,NA,NA,NA,NA,NA,9.212134,2.6946273,69.2575,NA,0.64925,10.78,1.108,201,0.017094433,9.577
"Italy","ITA","Europe",0.179150092627429,42.7889,2.4579551,1834.0343,0.058425333,2.60139115137071,-1.17404,0.38691458,0.42588776,0.11554294,3.5,2.25,2.8,2.6666667,0.748,0.346,0.277333333333333,0.64499986,76,75,29.6875,67.8,NA,NA,NA,0.3876515,0.13152514,3.611796856,0.9063401,0,0.6487372,6.49,0.29889366,3.0844772,2.2309341,0.39178082,5.437571,3.309686,3.1449099,45.161266,0.374285714285714,0.415714285714286,6.140125,3.7309575,0.686993,0.31399232,6.196105,0.607325,0.252128728706183,0.576153846153846,NA,4.200152,45.5084045708333,3.193244934,76.3892657748746,100,1.33488,10.640461,0.5538851,82.41,10.1604,0.88225,15.17,1.062,204,0,10.148
"Jordan","JOR","Asia",0.651989630530769,31.249563,1.0967437,137.73682,0.18891326,3.83613224164341,1.0349524,0.33245537,0.107838996,0.17180605,2.5,2,2.2,3,0.875,0.743333333333333,0.785,-0.49499977,NA,NA,43.080357,5.1,0.60593307,-0.2925365,-0.8977303,0.34254235,0.13537882,3.678175926,1.2546637,0.505301,0.7138449,2.99,0.21940663,3.2893581,2.1077557,0.4867608,5.966543,3.41807,2.9818597,12.313672,0.171428571428571,0.482142857142857,5.316012,4.1583996,0.6436038,0.3152215,7.3834205,0.74853706,0.937354677526222,0.807692307692308,NA,5.626982,49.6385822666666,3.685394287,13.1486207054951,72.6463027276065,0.4347,9.28009,0.8754688,73.747,10.3,0.7305,9.18,1.218,195,0.017094433,13.184
