catID,sound,position,surprise,order,ID
n39,diff,diff,1,1,h7
n39,diff,diff,0,1,h8
n39,diff,same,1,2,h1
n39,diff,same,0,2,h2
n39,diff,same,1,2,h3
n39,diff,same,2,2,h4
n39,diff,same,0,2,h5
n39,diff,same,0,2,h6
n39,diff,same,1,2,h7
n39,diff,same,0,2,h8
n4,diff,diff,1,1,h1
n4,diff,diff,0,1,h2
n4,diff,diff,0,1,h3
n4,diff,diff,0,1,h4
n4,diff,diff,1,1,h5
n4,diff,diff,0,1,h6
n4,diff,diff,1,1,h7
n4,diff,diff,0,1,h8
n4,diff,same,2,2,h1
n4,diff,same,1,2,h2
n4,diff,same,1,2,h3
n4,diff,same,1,2,h4
n4,diff,same,1,2,h5
n4,diff,same,1,2,h6
n4,diff,same,2,2,h7
n4,diff,same,0,2,h8
n40,diff,diff,2,1,h1
n40,diff,diff,0,1,h2
n40,diff,diff,1,1,h3
n40,diff,diff,2,1,h4
n40,diff,diff,0,1,h5
n40,diff,diff,2,1,h6
n40,diff,diff,2,1,h7
n40,diff,diff,2,1,h8
n41,same,diff,2,2,h1
n41,same,diff,4,2,h2
n41,same,diff,4,2,h3
n41,same,diff,3,2,h4
n41,same,diff,2,2,h5
n41,same,diff,3,2,h6
n41,same,diff,3,2,h7
n41,same,diff,2,2,h8
n41,same,same,1,1,h1
n41,same,same,0,1,h2
n41,same,same,0,1,h3
n41,same,same,0,1,h4
n41,same,same,0,1,h5
n41,same,same,0,1,h6
n41,same,same,1,1,h7
n41,same,same,0,1,h8
n42,same,same,1,1,h1
n42,same,same,0,1,h2
n42,same,same,1,1,h3
n42,same,same,0,1,h4
n42,same,same,0,1,h5
n42,same,same,0,1,h6
n42,same,same,1,1,h7
n42,same,same,0,1,h8
n43,same,diff,2,1,h1
n43,same,diff,2,1,h2
n43,same,diff,4,1,h3
n43,same,diff,3,1,h4
n43,same,diff,2,1,h5
n43,same,diff,3,1,h6
n43,same,diff,3,1,h7
n43,same,diff,3,1,h8
n44,diff,same,2,2,h1
n44,diff,same,4,2,h2
n44,diff,same,2,2,h3
n44,diff,same,4,2,h4
n44,diff,same,2,2,h5
n44,diff,same,3,2,h6
n44,diff,same,4,2,h7
n44,diff,same,3,2,h8
n45,same,diff,1,1,h1
n45,same,diff,0,1,h2
n45,same,diff,3,1,h3
n45,same,diff,0,1,h4
n45,same,diff,0,1,h5
n45,same,diff,0,1,h6
n45,same,diff,1,1,h7
n45,same,diff,0,1,h8
n45,same,same,1,2,h1
n45,same,same,0,2,h2
n45,same,same,0,2,h3
n45,same,same,0,2,h4
n45,same,same,0,2,h5
n45,same,same,0,2,h6
n45,same,same,1,2,h7
n45,same,same,0,2,h8
n46,diff,same,2,1,h1
n46,diff,same,1,1,h2
n46,diff,same,3,1,h3
n46,diff,same,2,1,h4
n46,diff,same,1,1,h5
n46,diff,same,2,1,h6
n46,diff,same,2,1,h7
n46,diff,same,1,1,h8
n46,diff,diff,2,2,h1
n46,diff,diff,2,2,h2
n46,diff,diff,3,2,h3
n46,diff,diff,2,2,h4
n46,diff,diff,2,2,h5
n46,diff,diff,3,2,h6
n46,diff,diff,2,2,h7
n46,diff,diff,2,2,h8
n47,same,diff,1,2,h1
n47,same,diff,1,2,h2
n47,same,diff,3,2,h3
n47,same,diff,1,2,h4
n47,same,diff,0,2,h5
n47,same,diff,0,2,h6
n47,same,diff,1,2,h7
n47,same,diff,1,2,h8
n47,same,same,1,1,h1
n47,same,same,3,1,h2
n47,same,same,3,1,h3
n47,same,same,1,1,h4
n47,same,same,1,1,h5
n47,same,same,2,1,h6
n47,same,same,2,1,h7
n47,same,same,1,1,h8
n48,same,diff,1,1,h1
n48,same,diff,0,1,h2
n48,same,diff,1,1,h3
n48,same,diff,0,1,h4
n48,same,diff,0,1,h5
n48,same,diff,1,1,h6
n48,same,diff,2,1,h7
n48,same,diff,0,1,h8
n48,same,same,1,2,h1
n48,same,same,0,2,h2
n48,same,same,0,2,h3
n48,same,same,0,2,h4
n48,same,same,0,2,h5
n48,same,same,0,2,h6
n48,same,same,1,2,h7
n48,same,same,0,2,h8
n49,same,diff,3,2,h1
n49,same,diff,2,2,h2
n49,same,diff,1,2,h3
n49,same,diff,2,2,h4
n49,same,diff,1,2,h5
n49,same,diff,2,2,h6
n49,same,diff,3,2,h7
n49,same,diff,2,2,h8
n49,same,same,1,1,h1
n49,same,same,0,1,h2
n49,same,same,0,1,h3
n49,same,same,0,1,h4
n49,same,same,0,1,h5
n49,same,same,0,1,h6
n49,same,same,1,1,h7
n49,same,same,0,1,h8
