"treatment","bike_move_right2","mv_wait2","permitted2","safe2","cycle_distance","mv_distance","commute_type2","state","gender","education"
"2_STR","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","Less than 50 miles","Other","NY","Male","Graduate Degree"
"3_SLM","0_Disagree","1_Agree","1_Agree","1_Agree","11 - 50 miles","51 - 200 Miles","MotorVehicle","NY","Male","Community College"
"2_STR","0_Disagree","1_Agree","1_Agree","1_Agree","11 - 50 miles","Less than 50 miles","Other","NY","Male","Community College"
"3_SLM","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","51 - 200 Miles","MotorVehicle","OH","Male","Graduate Degree"
"2_STR","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","51 - 200 Miles","MotorVehicle","OH","Male","Graduate Degree"
"1_None","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","None","Other","OH","Male","4-Year College"
"1_None","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","None","Other","OH","Male","High School"
"4_BMUFL","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","51 - 200 Miles","MotorVehicle","OK","Male","Graduate Degree"
"4_BMUFL","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","Less than 50 miles","Other","OK","Male","Graduate Degree"
"2_STR","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","None","Other","OR","Male","High School"
"4_BMUFL","0_Disagree","1_Agree","1_Agree","1_Agree","11 - 50 miles","Less than 50 miles","Other","OR","Male","Graduate Degree"
"4_BMUFL","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","None","Other","PA","Male","Community College"
"4_BMUFL","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","51 - 200 Miles","Other","PA","Female","Graduate Degree"
"4_BMUFL","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","None","Other","PA","Male","4-Year College"
"3_SLM","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","None","Other","PA","Male","4-Year College"
"3_SLM","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","None","Other","PA","Male","Graduate Degree"
"2_STR","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","51 - 200 Miles","Other","PA","Male","Graduate Degree"
"1_None","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","Less than 50 miles","Other","PA","Male","4-Year College"
"1_None","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","Less than 50 miles","Other","PA","Male","4-Year College"
"2_STR","0_Disagree","1_Agree","1_Agree","1_Agree","11 - 50 miles","None","Other","PA","Male","4-Year College"
"4_BMUFL","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","Less than 50 miles","Other","TX","Male","Graduate Degree"
"3_SLM","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","51 - 200 Miles","MotorVehicle","TX","Male","4-Year College"
"3_SLM","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","Less than 50 miles","Other","UT","Male","Graduate Degree"
"1_None","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","Less than 50 miles","Other","UT","Male","4-Year College"
"4_BMUFL","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","51 - 200 Miles","Other","VA","Female","Graduate Degree"
"1_None","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","Less than 50 miles","Other","VA","Male","4-Year College"
"3_SLM","0_Disagree","1_Agree","1_Agree","1_Agree","More than 50 miles","Less than 50 miles","Other","VA","Male","4-Year College"
"4_BMUFL","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","51 - 200 Miles","Other","WA","Male","High School"
"3_SLM","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","None","Other","WA","Male","4-Year College"
"4_BMUFL","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","Less than 50 miles","MotorVehicle","WI","Male","4-Year College"
"3_SLM","1_Agree","1_Agree","0_Disagree","1_Agree","11 - 50 miles","51 - 200 Miles","MotorVehicle","CO","Male","High School"
"2_STR","1_Agree","1_Agree","0_Disagree","1_Agree","11 - 50 miles","51 - 200 Miles","MotorVehicle","MI","Male","Graduate Degree"
"4_BMUFL","1_Agree","1_Agree","0_Disagree","1_Agree","Less than 10 miles","Less than 50 miles","MotorVehicle","NC","Male","Graduate Degree"
"2_STR","1_Agree","1_Agree","0_Disagree","1_Agree","11 - 50 miles","51 - 200 Miles","Other","UT","Male","4-Year College"
"3_SLM","1_Agree","0_Disagree","1_Agree","0_Disagree","More than 50 miles","Less than 50 miles","Other","CA","Male","4-Year College"
"3_SLM","1_Agree","1_Agree","1_Agree","0_Disagree","11 - 50 miles","51 - 200 Miles","MotorVehicle","AK","Male","4-Year College"
