"time","person","sex","country","date","event","type","notes"
"2:55:18.4","Johnny Hayes","M"," United States","July 24, 1908","London Olympics, England","IAAF","Time was officially recorded as 2:55:18 2/5. Italian Dorando Pietri finished in 2:54:46.4, but was disqualified for receiving assistance from race officials near the finish. Note."
"2:52:45.4","Robert Fowler","M"," United States","January 1, 1909","Yonkers,[nb 5] United States","IAAF","Note."
"2:46:52.8","James Clark","M"," United States","February 12, 1909","New York City, United States","IAAF","Note."
"2:46:04.6","Albert Raines","M"," United States","May 8, 1909","New York City, United States","IAAF","Note."
"2:42:31.0","Henry Barrett","M"," United Kingdom","May 8, 1909[nb 6]","Polytechnic Marathon, London, England","IAAF","Note."
"2:40:34.2","Thure Johansson","M"," Sweden","August 31, 1909","Stockholm, Sweden","IAAF","Note."
"2:38:16.2","Harry Green","M"," United Kingdom","May 12, 1913","Polytechnic Marathon","IAAF","Note."
"2:36:06.6","Alexis Ahlgren","M"," Sweden","May 31, 1913","Polytechnic Marathon","IAAF","Report in The Times claiming world record. Note."
"2:38:00.8","Umberto Blasi","M"," Italy","November 29, 1914","Legnano, Italy","ARRS",""
"2:32:35.8","Hannes Kolehmainen","M"," Finland","August 22, 1920","Antwerp Olmpics, Belgium","IAAF, ARRS","The course distance was officially reported to be 42,750 meters/26.56 miles, however, the Association of Road Racing Statisticians estimated the course to be 40 km."
"2:29:01.8","Albert Michelsen","M"," United States","October 12, 1925","Port Chester Marathon, United States","IAAF","Note."
"2:30:57.6","Harry Payne","M"," United Kingdom","July 5, 1929","AAA Championships, London, England","ARRS",""
